team,stadium,city,state,conference,capacity,built,expanded,div,latitude,longitude,logo
Illinois,Memorial Stadium,Champaign,IL,Big Ten,60670,1923,2011,fbs,40.09930573133053,-88.23598623275757,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\illinois.png"""
Indiana,Memorial Stadium,Bloomington,IN,Big Ten,52959,1960,2010,fbs,39.18090913372922,-86.52557373046875,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\indiana.png"""
Iowa,Kinnick Stadium,Iowa City,IA,Big Ten,70585,1929,2006,fbs,41.65838893680983,-91.55147552490234,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\iowa.png"""
Iowa State,Jack Trice Stadium,Ames,IA,Big 12,61500,1975,2015,fbs,42.01400541108485,-93.63580942153929,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\iowaState.png"""
Kansas,Memorial Stadium,Lawrence,KS,Big 12,50071,1921,1999,fbs,38.96294598898537,-95.2463150024414,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\kansas.png"""
Kansas State,Bill Snyder Family Football Stadium,Manhattan,KS,Big 12,50000,1968,2005,fbs,39.201863618142475,-96.59379243850708,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\kansasState.png"""
Kent State,Dix Stadium,Kent,OH,MAC,25000,1969,2008,fbs,41.139086825495156,-81.31343945860863,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\kentState.png"""
Kentucky,Commonwealth Stadium,Lexington,KY,SEC,62093,1973,1999,fbs,38.02262168129363,-84.50520515441896,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\kentucky.png"""
LSU,Tiger Stadium,Baton Rouge,LA,SEC,102321,1924,2014,fbs,30.412012398299698,-91.183819770813,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\lsu.png"""
Liberty Flames,Williams Stadium,Lynchburg,Virginia,Big South,19200,1989,2010,fbs,37.354414,-79.17504699999999,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\liberty.png"""
Louisiana Tech,Joe Aillet Stadium,Ruston,LA,C-USA,30600,1968,1989,fbs,32.53223809915824,-92.6560188758494,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\LouisianaTech.png"""
Louisiana-Lafayette,Cajun Field,Lafayette,LA,Sun Belt,36900,1971,,fbs,30.21579609675613,-92.01626413552384,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\louisianaLafayette.png"""
Louisiana-Monroe,Malone Stadium,Monroe,LA,Sun Belt,30427,1978,1993,fbs,32.53106869451547,-92.06644075067642,"""C:\Users\maxak\Documents\GitHub\sportsJSON\collegeFootball\logos\louisianaMonroe.png"""
